Commodity,January 2015,February 2015,March 2015,April 2015,May 2015,June 2015,July 2015,August 2015,September 2015,October 2015,November 2015,December 2015,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019
36 Explosives; Pyrotechnics; Matches; Pyro Alloys Etc,"3,559,763","6,952,160","13,509,864","9,135,946","6,183,354","5,792,356","8,210,191","7,590,057","6,973,854","4,409,558","11,650,198","9,921,788","7,736,245","5,259,388","7,916,801","7,571,979","10,232,677","8,171,408","5,459,149","4,650,707","6,569,820","7,345,260","12,017,536","6,075,831","4,623,688","5,532,184","6,768,311","5,004,406","5,819,226","6,549,318","5,752,997","4,797,557","3,194,102","5,258,698","5,421,795","4,721,522","4,671,877","3,000,126","3,534,559","2,823,838","2,972,292","3,008,444","3,560,737","4,362,881","2,986,150","3,697,222","2,286,648","4,426,031","1,680,905","4,506,085","4,848,844","4,019,079","6,894,791","4,909,875","3,286,495","3,374,163"
37 Photographic Or Cinematographic Goods,"40,923,065","43,534,482","52,792,967","51,200,408","57,139,170","58,439,121","48,343,469","57,288,292","49,353,810","47,946,345","60,449,712","38,276,416","40,473,036","29,921,723","48,173,965","55,270,290","47,538,737","43,770,492","42,957,410","43,748,606","44,314,051","46,184,543","43,413,868","47,474,783","31,904,503","35,481,804","45,447,788","42,473,564","42,263,171","55,086,526","44,229,611","46,630,218","62,151,190","50,910,655","54,789,175","59,976,447","37,926,621","46,399,442","56,564,733","51,135,828","46,336,065","59,800,769","59,118,654","72,446,521","37,840,444","47,092,778","45,862,188","51,003,089","37,897,446","36,174,339","44,396,627","49,604,329","47,749,287","45,398,761","49,119,837","49,091,789"
38 Miscellaneous Chemical Products,"153,231,051","148,437,382","180,434,019","142,359,868","150,407,372","163,109,288","159,455,737","154,284,651","173,376,871","163,014,636","164,018,556","147,295,770","139,208,011","132,938,608","161,344,538","163,868,646","174,572,693","150,815,562","155,114,408","176,502,592","164,248,541","172,725,112","177,015,307","184,589,042","173,558,010","173,202,097","189,137,392","196,649,608","186,510,362","210,392,802","178,769,972","180,416,448","185,423,269","211,021,030","228,237,897","332,172,183","204,346,889","173,236,210","272,801,830","248,048,254","249,231,324","284,492,235","212,874,656","238,671,352","215,245,727","226,094,270","198,648,916","216,118,923","192,416,354","205,662,077","220,370,322","197,577,170","193,692,391","247,268,661","213,401,824","213,271,928"
39 Plastics And Articles Thereof,"376,472,600","363,974,853","455,679,862","445,758,547","431,810,076","411,175,498","423,859,089","413,389,118","385,995,677","403,991,241","386,785,247","409,246,619","350,092,555","392,788,928","416,181,521","397,624,527","399,090,490","398,415,997","397,410,761","380,500,260","404,064,453","426,044,055","436,402,811","534,087,087","537,734,686","550,974,410","547,384,589","444,786,179","445,711,743","428,243,454","407,459,358","473,234,616","430,211,740","471,584,266","439,889,445","484,639,296","454,408,882","491,355,029","504,381,867","461,149,147","536,811,425","567,928,847","551,259,257","486,050,988","432,766,286","423,832,680","374,266,450","416,914,969","412,503,267","388,291,607","472,052,127","429,142,898","442,689,255","438,817,770","409,752,598","426,720,993"
40 Rubber And Articles Thereof,"53,987,998","68,075,217","58,433,096","71,079,583","64,116,781","59,573,534","56,106,800","54,970,895","49,173,798","52,932,084","45,400,803","41,829,238","42,148,121","49,955,689","53,162,516","53,741,177","56,296,028","54,545,474","48,845,023","47,865,874","45,911,841","55,192,333","61,664,289","63,600,873","63,561,892","61,001,414","72,292,427","66,039,439","54,961,580","53,509,524","52,446,615","55,741,587","50,426,517","61,258,152","58,251,938","59,280,449","50,294,902","56,388,196","64,933,882","63,655,013","66,420,113","62,292,234","63,803,710","64,083,566","61,924,775","58,781,816","45,333,406","43,869,446","38,067,394","40,762,089","44,317,774","47,253,567","45,340,529","38,995,555","38,343,026","44,328,665"
41 Raw Hides And Skins (no Furskins) And Leather,"114,054,442","126,886,036","175,834,871","141,356,643","140,961,298","105,984,864","119,368,994","110,298,634","87,838,561","107,725,186","108,802,558","101,249,525","92,690,659","91,570,121","93,718,785","82,549,639","94,828,206","85,368,041","102,049,556","105,884,704","90,208,683","103,970,059","112,835,198","114,057,062","103,227,239","101,187,411","107,509,479","93,374,476","84,438,126","82,076,703","87,998,870","95,710,672","88,700,768","96,003,204","94,547,058","97,068,179","79,122,685","85,300,501","79,654,954","70,865,685","72,373,193","62,462,151","61,621,008","57,314,879","53,942,889","57,411,861","66,067,309","50,429,151","52,903,463","54,270,380","49,723,821","43,626,334","42,978,370","36,922,535","39,883,572","39,278,734"
42 Leather Art; Saddlery Etc; Handbags Etc; Gut Art,"2,597,870","2,982,086","4,745,494","4,801,074","4,334,517","3,150,031","4,667,040","5,909,325","7,209,248","7,443,366","7,113,010","8,535,668","6,100,795","3,515,591","4,958,185","4,785,025","4,073,137","3,320,156","5,009,869","4,286,260","5,420,756","4,743,939","3,299,656","4,220,486","3,398,339","3,257,907","4,313,290","5,372,160","6,517,196","4,322,348","4,687,724","6,414,238","9,728,159","9,939,925","8,051,623","11,872,098","9,466,319","5,473,759","11,357,867","11,768,432","10,493,245","9,782,458","7,991,630","11,263,476","9,227,872","7,720,682","6,068,786","6,588,427","7,242,404","3,024,488","8,598,826","6,575,527","7,393,849","7,698,649","9,262,661","5,406,071"
43 Furskins And Artificial Fur; Manufactures Thereof,"1,241,027","873,342","3,459,574","60,989,188","15,178,799","20,455,600","21,300,645","1,614,486","2,033,273","188,471","547,990","465,585","1,271,306","566,720","10,296,432","30,931,869","1,515,276","8,103,869","24,899,551","398,599","988,989","584,699","418,726","220,268","806,160","898,692","11,481,981","11,195,136","1,535,331","4,719,992","23,455,690","1,437,680","568,740","1,886,142","132,005","285,299","497,705","265,285","910,406","941,153","1,456,920","683,413","861,329","331,210","153,703","85,151","42,096","150,509","318,749","491,738","645,849","950,286","465,046","450,391","933,970","472,054"
44 Wood And Articles Of Wood; Wood Charcoal,"146,941,297","175,799,792","226,043,900","194,894,679","191,540,031","180,093,280","149,632,942","153,279,975","160,877,664","170,433,942","210,990,581","108,305,300","171,133,653","191,034,486","176,627,304","204,091,886","231,264,776","236,003,058","209,201,422","231,283,666","242,577,271","234,364,822","246,921,885","171,161,595","237,469,417","218,704,390","255,054,387","265,487,608","270,770,953","267,930,080","275,503,040","266,359,668","291,130,661","300,941,669","282,896,608","265,539,246","210,226,868","295,791,634","295,291,177","348,782,329","275,691,568","286,151,487","246,543,381","219,009,459","168,865,291","217,206,093","197,281,059","102,528,646","152,576,059","116,023,769","167,869,986","204,437,490","172,309,086","150,519,820","121,572,569","116,286,429"
45 Cork And Articles Of Cork,"12,265","15,332","66,912","76,837","31,872","217,688","237,482","25,470","97,606",,"74,319","50,501","54,856","36,713",,"12,636","107,292","30,246","16,437","64,646","18,254","120,796","50,556","25,784","13,639","12,558","11,362","114,722","24,139",,"6,780","24,799","157,092","63,567",,"133,310","24,436",,"21,105","41,910","6,514","167,277","13,326","62,062",,,"12,750",,"27,025",,"64,071","6,687","22,903","4,780","14,055",
